Ticker,Name
NILSY,MMC NORILSK NICKEL PJSC
TRP,TC Energy Corporation
CAP.SN,CAP SA
HSE.TO,HUSKY ENERGY INC.
ED,"Consolidated Edison, Inc."
BP,BP p.l.c.
COP,ConocoPhillips
UNP,Union Pacific Corporation
RDS-A,Royal Dutch Shell PLC Royal Dut
PAA,"Plains All American Pipeline, L"
TRNFP.ME,TRANSNEFT PJSC
SUN,Sunoco LP
KEX,Kirby Corporation
PTTGC.BK,PTT GLOBAL CHEMICAL PUBLIC COMP
XOM,Exxon Mobil Corporation
DKL,"Delek Logistics Partners, L.P."
CVX,Chevron Corporation
CMRE,Costamare Inc.
ONGC.NS,OIL & NATURAL GAS
STOHF,EQUINOR ASA
CPYYY,CENTRICA
MUR,Murphy Oil Corporation
BHP,BHP Group Limited
ASH,Ashland Global Holdings Inc.
